H-Hand Detected,H-Distance,H-Illegal Objects,H-Prohibited Item,F-Hand Detected,F-Distance,F-Illegal Objects,F-Prohibited Item,Identity,Face Direction,Face Zone,Eye Direction,Mouth,Number of people,Cheat Score,timestamp,face_is_cheating,hand_is_cheating,is_cheating
True,,0,,False,,0,,False,left,red,center,YELLOW,1.0,85,0-01-38.833287,1,1,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-04-52.299864,1,1,1
True,109.63576058932597,1,watch,True,,0,,True,right,red,center,GREEN,1.0,25,0-05-15.866520,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-01-10.166634,0,1,1
False,,1,watch,False,,0,,False,,,,,,80,0-07-06.666468,0,1,1
False,,0,,False,,0,,False,,,,,,80,0-06-41.599813,0,0,0
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-02-42.966591,0,1,1
False,,0,,False,,0,,True,right,red,center,ORANGE,1.0,35,0-05-52.933169,1,0,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-05-03.133192,0,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-04-53.433197,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-01-59.199945,1,1,1
True,,0,,False,,1,cell phone,True,,,,,,30,0-10-00.266387,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-02-55.933252,0,1,1
True,,0,,True,117.32433677630571,2,watch,True,left,red,center,GREEN,1.0,25,0-07-37.499787,1,1,1
True,,0,,False,,0,,True,right,red,center,YELLOW,1.0,35,0-08-38.799759,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-04-37.866537,1,1,1
True,,0,,False,,0,,False,left,red,right,GREEN,1.0,80,0-08-25.666431,1,1,1
False,,0,,False,,0,,False,,,,,,80,0-08-14.333103,1,0,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-07-46.799783,1,0,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-06-34.299817,1,0,1
False,,1,headphone,False,,0,,False,,,,,,80,0-02-17.566603,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-03-47.233228,0,1,1
True,306.4914354431458,2,watch,True,,0,,True,left,red,center,GREEN,1.0,25,0-05-09.633189,1,1,1
True,190.60167890131504,1,closedbook,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-07.566356,1,1,1
True,107.0420478129973,2,sheet,False,,0,,True,left,red,center,GREEN,1.0,25,0-08-49.366420,1,1,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-06-17.699824,1,1,1
True,,0,,False,,1,headphone,True,right,red,center,YELLOW,1.0,35,0-00-26.599988,0,1,1
True,38.8329756778952,1,cell phone,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-00-28.999987,0,1,1
True,24.839484696748443,1,cell phone,False,,0,,False,,,,,,80,0-03-28.299903,0,1,1
False,,0,,True,198.23723161908813,1,headphone,True,right,red,center,GREEN,1.0,25,0-07-27.299792,1,0,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-09-17.399741,1,0,1
True,,0,,False,,1,headphone,False,right,red,right,YELLOW,1.0,90,0-08-06.566440,1,0,1
False,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-03-19.466574,0,1,1
False,,1,watch,True,,0,,False,,,,,,80,0-06-51.733142,1,1,1
True,,0,,False,,1,headphone,True,right,red,left,GREEN,1.0,30,0-07-35.799788,1,1,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-07-52.599780,1,0,1
True,188.403821617291,1,closedbook,False,,0,,True,left,red,center,YELLOW,1.0,35,0-11-11.099688,1,1,1
True,191.01047091717248,1,closedbook,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-02.233025,1,1,1
True,169.04733065032408,1,watch,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-24.966516,0,1,1
False,,0,,False,,0,,False,,,,,,80,0-02-24.866599,0,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-01-54.766613,1,1,1
True,239.52035404115452,2,sheet,False,,0,,True,left,red,center,GREEN,1.0,25,0-09-07.366412,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-04-23.366544,1,1,1
False,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-08-36.933093,1,1,1
True,,0,,True,150.98675438593943,1,headphone,True,right,red,center,GREEN,1.0,25,0-07-40.766452,1,0,1
True,114.0175425099138,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-29.033180,0,1,1
False,,0,,False,,0,,True,left,red,right,YELLOW,1.0,40,0-10-39.033036,1,0,1
True,188.0026595556563,1,closedbook,False,,0,,True,left,red,center,YELLOW,1.0,35,0-11-11.233021,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-00-36.866650,0,1,1
True,,0,,False,,0,,False,left,red,left,GREEN,1.0,80,0-02-36.199927,1,1,1
True,,0,,False,,0,,True,right,red,center,ORANGE,1.0,35,0-00-12.566661,0,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-04-10.233217,0,1,1
True,,0,,False,,2,headphone,True,right,red,center,YELLOW,1.0,35,0-10-29.866374,1,0,1
True,239.14012628582432,2,sheet,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-09-01.299748,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-02-25.666599,1,1,1
True,,0,,False,,0,,True,right,red,center,ORANGE,1.0,35,0-10-25.833042,1,0,1
False,,0,,True,150.86417732516887,1,headphone,True,left,red,right,YELLOW,1.0,40,0-08-08.799773,1,0,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-43.199840,1,1,1
True,,0,,False,,0,,False,right,red,center,YELLOW,1.0,85,0-03-15.233243,0,1,1
True,,0,,False,,1,headphone,False,right,red,center,GREEN,1.0,75,0-07-34.766455,1,1,1
True,,0,,True,,0,,True,left,red,center,GREEN,1.0,25,0-09-38.466398,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-03-41.833230,0,1,1
False,,0,,False,,1,headphone,False,right,red,center,YELLOW,1.0,85,0-09-42.466396,1,0,1
True,115.10864433221339,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-14.266520,1,1,1
True,,0,,True,,0,,False,left,red,center,GREEN,1.0,75,0-01-18.833297,0,1,1
True,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-04-46.999867,1,1,1
True,,0,,False,,0,,True,left,red,center,YELLOW,1.0,35,0-10-11.833049,1,1,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-04-53.133197,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-01-43.266619,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-14.599686,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-10-25.066376,1,0,1
True,188.0026595556563,1,closedbook,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-13.199687,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-02-05.433275,1,1,1
True,,0,,False,,0,,False,right,red,center,YELLOW,1.0,85,0-02-38.199926,0,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-04-09.766550,0,1,1
True,,0,,True,,0,,False,,,,,,80,0-02-09.999940,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-03-46.666561,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-01-44.766618,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-00-32.866651,0,1,1
False,,1,watch,True,,0,,False,,,,,,80,0-06-55.699807,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-46.899671,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-03-06.666580,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-10-24.933043,1,0,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-03-15.933242,0,1,1
True,87.45856161634491,1,watch,False,,0,,False,,,,,,80,0-02-11.933272,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-06.266496,1,0,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-01-42.733286,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-34.699677,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-07-19.533129,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-09-13.533076,1,0,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-04-38.499870,1,1,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-00-11.466661,0,1,1
False,,0,,False,,0,,False,,,,,,80,0-06-07.333162,1,0,1
False,,0,,False,,0,,False,,,,,,80,0-06-48.399810,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-04-11.566550,0,1,1
False,,0,,True,,0,,True,left,red,center,GREEN,1.0,25,0-08-36.966426,1,1,1
False,,0,,True,,0,,True,left,red,center,GREEN,1.0,25,0-08-30.033096,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-01-50.099949,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-51.266336,1,1,1
False,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-08-00.799776,1,0,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-26.899680,1,1,1
True,,0,,False,,1,headphone,True,right,red,left,GREEN,1.0,30,0-05-50.599837,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-02-01.399944,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-08-27.266431,1,1,1
True,,0,,False,,0,,True,left,red,left,YELLOW,1.0,40,0-10-37.099704,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-03-41.399897,0,1,1
True,170.26156348395253,1,watch,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-19.099852,0,1,1
True,,0,,False,,0,,True,left,red,right,YELLOW,1.0,40,0-10-32.466372,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-02-21.799934,0,1,1
True,,0,,False,,1,headphone,False,left,red,center,GREEN,1.0,75,0-07-35.699788,1,1,1
True,170.75128110793196,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-27.433181,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-02-20.866601,0,1,1
False,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-20.433017,1,1,1
False,,0,,False,,0,,False,,,,,,80,0-06-07.999829,1,0,1
True,241.66091947189145,2,sheet,False,,0,,True,right,red,center,GREEN,1.0,25,0-08-56.966417,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-26.299681,1,1,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-02-30.266597,0,1,1
False,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-07.099829,1,0,1
False,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-07-46.699783,1,0,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-09-15.066408,1,0,1
True,188.0026595556563,1,closedbook,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-13.033020,1,1,1
False,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-07-24.766460,1,0,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-00-27.299987,0,1,1
True,,0,,False,,0,,True,right,red,center,YELLOW,1.0,35,0-05-54.233169,1,0,1
True,155.9134375222354,1,watch,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-31.466512,0,1,1
False,,0,,False,,0,,False,right,red,left,GREEN,1.0,80,0-08-11.566438,1,0,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-06-01.133165,1,0,1
False,,1,cell phone,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-07.399857,1,1,1
False,,0,,True,146.24978632463024,1,headphone,True,left,red,center,GREEN,1.0,25,0-07-22.299794,1,0,1
False,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-07-46.533116,1,0,1
False,,0,,False,,0,,False,left,red,center,YELLOW,1.0,85,0-05-59.433166,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-02-20.833268,0,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-04-27.466542,1,1,1
False,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-08-34.699761,1,1,1
True,,0,,False,,1,headphone,False,right,red,center,GREEN,1.0,75,0-04-13.799882,0,1,1
True,,0,,False,,0,,True,right,red,left,YELLOW,1.0,40,0-10-37.533037,1,0,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-03-02.799915,0,1,1
True,206.9806754264755,2,sheet,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-34.566511,0,1,1
True,239.14012628582432,2,sheet,False,,0,,True,left,red,center,GREEN,1.0,25,0-09-02.666414,1,1,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-06-05.099830,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-04-08.433218,0,1,1
True,207.96393918177256,3,sheet,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-54.999667,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-31.799678,1,1,1
False,,1,watch,True,,0,,False,,,,,,80,0-06-58.766472,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-06-02.233165,1,0,1
True,,0,,False,,0,,True,left,red,center,YELLOW,1.0,35,0-00-21.699990,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-32.933011,1,1,1
False,,1,watch,False,,0,,False,,,,,,80,0-02-07.399941,1,1,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-03-15.999909,0,1,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-06-17.899824,1,1,1
False,,0,,True,138.94603268895446,1,headphone,True,left,red,center,GREEN,1.0,25,0-07-25.399793,1,0,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-02-49.133255,0,1,1
True,192.00260414900626,1,closedbook,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-11-08.033023,1,1,1
False,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-08-29.866430,1,1,1
True,80.43009387039157,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-00-02.333332,0,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-00-13.199994,0,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-04-37.399871,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-00-57.133307,0,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-00-52.899975,0,1,1
True,,0,,True,,0,,True,right,red,center,GREEN,1.0,25,0-09-49.966392,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-02-27.033265,0,1,1
False,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-00-41.299981,0,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-31.833151,1,0,1
True,,0,,False,,0,,False,left,red,center,GREEN,1.0,75,0-02-38.399926,0,1,1
True,,0,,False,,0,,False,,,,,,80,0-02-17.699936,0,1,1
True,169.29264603047588,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-20.733184,0,1,1
True,,0,,False,,0,,True,left,red,center,ORANGE,1.0,35,0-01-34.166623,1,1,1
False,,1,watch,False,,0,,False,,,,,,80,0-07-18.199796,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-01-24.399961,1,1,1
False,,0,,False,,0,,False,left,red,right,GREEN,1.0,80,0-05-59.066500,1,0,1
True,,0,,False,,1,headphone,False,right,red,center,GREEN,1.0,75,0-03-31.399902,0,1,1
False,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-35.999816,1,0,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-00-25.833321,0,1,1
False,,0,,False,,0,,True,right,red,center,YELLOW,1.0,35,0-10-54.133029,1,1,1
True,,0,,False,,1,headphone,False,right,red,center,GREEN,1.0,75,0-02-42.433258,0,1,1
False,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-10-56.399695,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-04-21.733212,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-11.966494,1,1,1
True,190.60167890131504,1,closedbook,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-08.266356,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-06-28.433153,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-05.066497,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-04-11.933216,0,1,1
False,,0,,True,199.48433522459854,1,headphone,True,left,red,right,GREEN,1.0,30,0-08-11.266438,1,0,1
False,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-02-41.099925,0,1,1
True,,0,,False,,1,cell phone,True,right,red,right,GREEN,1.0,30,0-09-56.099723,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-04-26.833209,1,1,1
True,171.95929750961417,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-21.899850,0,1,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-01-17.466631,0,1,1
True,189.40168953839878,1,closedbook,False,,0,,True,left,red,center,GREEN,1.0,25,0-11-09.933022,1,1,1
False,,0,,True,136.95254652615992,1,headphone,True,left,red,center,GREEN,1.0,25,0-07-22.399794,1,0,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-01-05.333303,0,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-17.066519,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-09-22.166405,1,0,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-09-13.933076,1,0,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-01-23.599961,1,1,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-04-53.933197,1,1,1
True,,0,,False,,0,,False,,,,,,80,0-10-23.399710,1,0,1
True,86.21484790916237,1,watch,False,,0,,False,,,,,,80,0-02-08.366607,1,1,1
True,,0,,False,,1,headphone,False,,,,,,80,0-03-22.833239,0,1,1
True,,0,,False,,0,,True,left,red,center,ORANGE,1.0,35,0-00-22.599989,1,1,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-09-24.966404,1,0,1
True,,0,,False,,0,,True,right,red,right,GREEN,1.0,30,0-01-21.666629,1,1,1
True,,0,,False,,1,headphone,False,right,red,center,GREEN,1.0,75,0-07-52.833113,1,0,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-05-49.466504,1,1,1
False,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-09-34.699733,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-03-48.499894,0,1,1
False,,0,,True,,0,,False,,,,,,80,0-08-21.099767,1,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-07.833190,1,1,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-09-18.666407,1,0,1
True,,0,,False,,1,cell phone,True,right,red,right,GREEN,1.0,30,0-10-05.299718,1,1,1
False,,0,,True,,0,,True,left,red,center,GREEN,1.0,25,0-07-21.799795,1,0,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-05-45.566506,0,1,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-09-21.299739,1,0,1
True,,0,,False,,0,,False,,,,,,80,0-03-51.433226,0,1,1
False,,0,,False,,0,,False,,,,,,80,0-08-13.833104,1,0,1
True,74.67261881037788,1,watch,False,,0,,True,left,red,center,GREEN,1.0,25,0-09-08.266412,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-09-15.966408,1,0,1
True,270.9723233099646,2,sheet,False,,0,,True,left,red,center,YELLOW,1.0,35,0-08-42.533090,1,1,1
True,,0,,False,,0,,True,right,red,center,GREEN,1.0,25,0-11-39.899674,1,1,1
True,118.71394189394942,1,watch,False,,1,cell phone,True,right,red,center,GREEN,1.0,25,0-05-12.499855,1,1,1
True,,0,,False,,1,headphone,True,right,red,center,GREEN,1.0,25,0-07-56.899778,1,0,1
False,,0,,True,149.5125412799876,1,headphone,True,left,red,right,ORANGE,1.0,40,0-08-09.166439,1,0,1
True,,0,,False,,1,headphone,True,left,red,center,GREEN,1.0,25,0-04-52.866530,1,1,1
True,,0,,False,,0,,False,right,red,center,GREEN,1.0,75,0-06-23.399822,0,1,1
False,,0,,False,,0,,False,,,,,,80,0-08-12.333104,1,0,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-00-11.333328,0,1,1
True,,0,,False,,0,,True,left,red,center,GREEN,1.0,25,0-05-02.566526,0,1,1
True,,0,,False,,1,cell phone,True,right,red,center,YELLOW,1.0,35,0-09-59.499721,1,1,1
