H-Hand Detected,H-Distance,H-Illegal Objects,H-Prohibited Item,F-Hand Detected,F-Distance,F-Illegal Objects,F-Prohibited Item,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,verification_result,Cheat Score,timestamp,face_is_cheating,hand_is_cheating,split,video,is_cheating
True,,0,[],False,,0,[],1,center,0.4410777523847139,GREEN,4.5,0,0,0,14.483964695017617,down,yellow,True,1,0-01-07.850000,0,0,Train,Video2,0
True,,0,[],False,,0,[],1,center,0.4522442778829026,GREEN,52.0,0,0,0,6.166479894772843,forward,white,True,1,0-01-27.600000,0,0,Train,Video2,0
True,,0,[],False,,0,[],1,center,0.4932193286180591,GREEN,3.0,0,0,0,7.6154703450817545,forward,white,True,1,0-00-31.350000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.45057017362892193,GREEN,127.5,0,0,0,3.9111804337645224,forward,white,True,1,0-01-02.350000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.512292337356345,GREEN,27.0,0,0,0,3.3775373855185356,forward,white,True,1,0-01-36.650000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.44335823394310636,GREEN,23.0,0,0,0,6.434453949025992,forward,white,True,1,0-00-43.100000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,right,0.4173993557999608,GREEN,54.5,0,0,0,5.557909491581402,forward,white,True,1,0-01-41.750000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.4352276150740862,GREEN,76.5,0,0,0,3.991954487552566,forward,white,True,1,0-01-35.500000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.47693585644067304,GREEN,25.5,0,0,0,9.853765391585249,down,white,True,1,0-00-35.900000,0,0,Train,Video2,0
True,,0,[],False,,0,[],1,left,0.5999351456518669,GREEN,71.5,0,0,0,13.191803961609383,up,yellow,True,1,0-00-47.700000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.4742953333830018,GREEN,157.0,0,0,0,2.2997313411313187,forward,white,True,1,0-01-01.200000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.4607213376254634,GREEN,136.5,0,0,0,5.963146431955138,forward,white,True,1,0-01-41.100000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.4609772228646444,GREEN,26.5,0,0,0,11.456306394231094,down,yellow,True,1,0-00-03.500000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.4724150353928588,YELLOW,207.0,0,0,0,4.347840249224997,forward,white,True,1,0-01-36.100000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.5285082664011235,GREEN,148.0,0,0,0,11.670395074992886,left,yellow,True,1,0-01-38.450000,0,0,Train,Video2,0
True,,0,[],False,,0,[],1,center,0.48226464261892765,GREEN,96.0,0,0,0,4.94085372768566,forward,white,True,1,0-01-30.200000,0,0,Train,Video2,0
True,,0,[],False,,1,['headphone'],1,center,0.5306082023279347,GREEN,41.5,0,0,0,8.000447114746674,forward,white,True,1,0-00-35.800000,0,0,Train,Video2,0
